CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Singed,"Jak'Sho, The Protean",Legendary,0.1256,0.5926,3.58,30.0,Liandry's Torment,Rylai's Crystal Scepter,Protoplasm Harness
Camille,Trinity Force,Legendary,0.9211,0.6071,2.2,15.0,Ravenous Hydra,Spear of Shojin,Sterak's Gage
Renekton,Serrated Dirk,Epic,0.0024,1.0,7.5,15.0,Black Cleaver,Death's Dance,Endless Hunger
Renekton,Profane Hydra,Legendary,0.0072,0.6667,1.83,25.0,Eclipse,Youmuu's Ghostblade,Black Cleaver
Kog Maw,Cryptbloom,Legendary,0.0068,0.0,3.5,35.0,Luden's Companion,Shadowflame,
Xin Zhao,Null-Magic Mantle,Basic,0.0571,0.625,2.42,15.0,Sundered Sky,Long Sword,Titanic Hydra
Sion,Ionian Boots of Lucidity,Boots,0.0109,1.0,4.71,10.0,Hollow Radiance,Bramble Vest,"Jak'Sho, The Protean"
Aurelion Sol,Amplifying Tome,Basic,0.139,0.3871,2.21,5.0,Rylai's Crystal Scepter,Blackfire Torch,Liandry's Torment
Garen,Tiamat,Epic,0.0164,0.0,0.24,10.0,Phage,,
Vi,The Collector,Legendary,0.075,0.6667,2.89,20.0,Lord Dominik's Regards,Eclipse,Infinity Edge
Taliyah,Horizon Focus,Legendary,0.0082,0.75,2.38,20.0,Rabadon's Deathcap,Blackfire Torch,Hextech Rocketbelt
Anivia,Archangel's Staff,Legendary,0.014,0.75,1.87,20.0,Rod of Ages,,
Nilah,Boots,Boots,0.0265,0.0,0.97,10.0,The Collector,Infinity Edge,Lord Dominik's Regards
Singed,Rylai's Crystal Scepter,Legendary,0.7023,0.5099,2.25,15.0,Liandry's Torment,Protoplasm Harness,Dead Man's Plate
Camille,Profane Hydra,Legendary,0.0066,1.0,6.0,10.0,,,
Gangplank,Oracle Lens,Trinket,0.1914,0.597,2.49,20.0,Essence Reaver,Infinity Edge,Lord Dominik's Regards
Rek Sai,Control Ward,Consumable,0.0777,0.4545,3.71,5.0,Plated Steelcaps,Spear of Shojin,Titanic Hydra
Xin Zhao,Nashor's Tooth,Legendary,0.0143,0.0,0.98,20.0,Dusk and Dawn,Guinsoo's Rageblade,Hextech Gunblade
Fiora,Control Ward,Consumable,0.0107,1.0,2.74,15.0,Ravenous Hydra,Trinity Force,Boots
Fiddlesticks,Oblivion Orb,Epic,0.1493,0.4848,3.75,20.0,Liandry's Torment,Hextech Rocketbelt,Shadowflame
Yorick,Glowing Mote,Basic,0.0148,0.5,3.13,5.0,Trinity Force,Boots,Last Whisper
Darius,Sundered Sky,Legendary,0.0036,1.0,11.0,10.0,Sterak's Gage,,
Orianna,Haunting Guise,Epic,0.0153,0.3333,1.62,20.0,Blackfire Torch,Horizon Focus,Rabadon's Deathcap
Braum,Crystalline Bracer,Epic,0.0015,0.0,3.5,30.0,Bandlepipes,Giant's Belt,Locket of the Iron Solari
Singed,Mikael's Blessing,Legendary,0.0047,0.0,0.89,20.0,Protoplasm Harness,Rylai's Crystal Scepter,
Ryze,Banshee's Veil,Legendary,0.0063,0.6,2.57,25.0,Rod of Ages,Actualizer,Rabadon's Deathcap
Senna,Kindlegem,Epic,0.0772,0.7143,5.17,10.0,Echoes of Helia,Phage,Bandleglass Mirror
Swain,Rylai's Crystal Scepter,Legendary,0.5464,0.475,2.59,20.0,Zhonya's Hourglass,Malignance,Blackfire Torch
Aurora,Control Ward,Consumable,0.0364,0.75,2.51,10.0,Shadowflame,Doran's Ring,Luden's Companion
Rakan,Moonstone Renewer,Legendary,0.0043,1.0,6.13,25.0,Echoes of Helia,Mejai's Soulstealer,
Rek Sai,Mercury's Treads,Boots,0.3604,0.5588,3.63,20.0,Spear of Shojin,Titanic Hydra,Stridebreaker
Udyr,Death's Dance,Legendary,0.0533,0.375,2.91,20.0,Spear of Shojin,Trinity Force,Endless Hunger
Ezreal,Recurve Bow,Epic,0.0018,1.0,1.56,20.0,Dusk and Dawn,Kraken Slayer,Vampiric Scepter
Quinn,Cull,Starter,0.0268,0.3333,1.76,5.0,Doran's Blade,Stormrazor,B. F. Sword
Graves,Chain Vest,Epic,0.0153,1.0,15.5,25.0,Black Cleaver,Hubris,Sundered Sky
Draven,Immortal Shieldbow,Legendary,0.0574,0.6842,2.99,25.0,Infinity Edge,Bloodthirster,Lord Dominik's Regards
Soraka,Bandleglass Mirror,Epic,0.0399,0.0909,1.24,10.0,Kindlegem,Redemption,Moonstone Renewer
Kennen,Hextech Rocketbelt,Legendary,0.5587,0.558,2.44,15.0,Shadowflame,Zhonya's Hourglass,Rabadon's Deathcap
Anivia,Actualizer,Legendary,0.0456,0.4615,2.62,25.0,Rod of Ages,Rabadon's Deathcap,Banshee's Veil
Blitzcrank,Hearthbound Axe,Epic,0.0045,0.0,0.0,10.0,Phage,,
Zed,Boots of Swiftness,Boots,0.0028,0.5,1.07,20.0,Voltaic Cyclosword,Black Cleaver,Edge of Night
Graves,Sundered Sky,Legendary,0.0763,0.8,5.92,25.0,Black Cleaver,Hubris,"Jak'Sho, The Protean"
Katarina,Fiendish Codex,Epic,0.0042,0.5,3.25,10.0,Hextech Gunblade,Haunting Guise,Liandry's Torment
Seraphine,Needlessly Large Rod,Basic,0.0323,0.4444,1.58,20.0,Blackfire Torch,Ionian Boots of Lucidity,Rylai's Crystal Scepter
Tahm Kench,Health Potion,Consumable,0.0112,1.0,5.0,5.0,Boots,Heartsteel,Null-Magic Mantle
Nami,Locket of the Iron Solari,Legendary,0.013,0.5,4.32,30.0,Imperial Mandate,Moonstone Renewer,Redemption
Kassadin,Plated Steelcaps,Boots,0.1946,0.51,2.81,15.0,Rod of Ages,Malignance,Zhonya's Hourglass
Yunara,Doran's Blade,Starter,0.7007,0.5097,2.23,5.0,Kraken Slayer,Fiendhunter Bolts,Infinity Edge
Malphite,Nashor's Tooth,Legendary,0.0065,0.3333,1.46,25.0,Lich Bane,Malignance,Dead Man's Plate
Lucian,Control Ward,Consumable,0.0109,0.8,1.99,10.0,Essence Reaver,Doran's Blade,Navori Flickerblade
Corki,Giant's Belt,Epic,0.0015,0.0,1.64,35.0,Essence Reaver,Force of Nature,Mortal Reminder
Viktor,Rod of Ages,Legendary,0.1296,0.5143,2.6,15.0,Liandry's Torment,Rabadon's Deathcap,Cosmic Drive
Nasus,Scout's Slingshot,Epic,0.007,0.0,0.0,20.0,Trinity Force,,
Yorick,Force of Nature,Legendary,0.0148,1.0,7.83,25.0,Trinity Force,Dead Man's Plate,Spear of Shojin
Irelia,Hullbreaker,Legendary,0.4341,0.4869,1.78,20.0,Blade of The Ruined King,Wit's End,Death's Dance
Warwick,Spectre's Cowl,Epic,0.0301,0.25,1.4,25.0,Blade of The Ruined King,Stridebreaker,Bramble Vest
Yone,Warden's Mail,Epic,0.016,0.1667,1.19,30.0,Blade of The Ruined King,Immortal Shieldbow,Death's Dance
Sivir,B. F. Sword,Basic,0.201,0.5062,2.86,20.0,Navori Flickerblade,Essence Reaver,Infinity Edge
Zac,Cloth Armor,Basic,0.0764,0.5455,3.39,15.0,Sunfire Aegis,Spirit Visage,Ionian Boots of Lucidity
Gnar,Refillable Potion,Consumable,0.1068,0.4545,1.01,5.0,Trinity Force,Doran's Blade,Plated Steelcaps
