CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Nilah,Guardian Angel,Legendary,0.0088,1.0,2.67,30.0,Immortal Shieldbow,Infinity Edge,Navori Flickerblade
Zeri,Negatron Cloak,Epic,0.0082,0.5,1.85,30.0,Fiendhunter Bolts,Infinity Edge,Yun Tal Wildarrows
Smolder,Phage,Epic,0.0096,0.5,1.81,20.0,Essence Reaver,Spear of Shojin,Kindlegem
Rakan,Ruby Crystal,Basic,0.1584,0.4384,2.94,5.0,Zeke's Convergence,Ionian Boots of Lucidity,Locket of the Iron Solari
Hwei,Cryptbloom,Legendary,0.0443,0.5556,3.23,25.0,Blackfire Torch,Liandry's Torment,Rabadon's Deathcap
Gnar,Black Cleaver,Legendary,0.5388,0.5225,2.39,20.0,Trinity Force,Sterak's Gage,Randuin's Omen
Karma,Rabadon's Deathcap,Legendary,0.003,0.5,2.0,35.0,Malignance,Horizon Focus,Shadowflame
Nasus,Negatron Cloak,Epic,0.0839,0.5,2.0,30.0,Frozen Heart,Trinity Force,Spirit Visage
Fizz,Seeker's Armguard,Epic,0.0944,0.4706,1.96,20.0,Lich Bane,Luden's Companion,Rabadon's Deathcap
Sylas,Needlessly Large Rod,Basic,0.2085,0.4882,2.76,25.0,Hextech Rocketbelt,Zhonya's Hourglass,Riftmaker
Poppy,Serpent's Fang,Legendary,0.011,0.5,1.6,15.0,Dead Man's Plate,Iceborn Gauntlet,"Jak'Sho, The Protean"
Smolder,Hubris,Legendary,0.0096,0.25,1.5,20.0,Essence Reaver,Rapid Firecannon,Bloodthirster
Garen,Hullbreaker,Legendary,0.0082,1.0,0.56,25.0,Stridebreaker,Sterak's Gage,
Kaisa,Plated Steelcaps,Boots,0.0082,0.8571,4.46,15.0,Kraken Slayer,Guinsoo's Rageblade,Nashor's Tooth
Lux,Lich Bane,Legendary,0.0034,1.0,4.0,15.0,,,
Tahm Kench,Refillable Potion,Consumable,0.0562,0.2,1.51,10.0,Control Ward,Heartsteel,Boots of Swiftness
Kassadin,Glacial Buckler,Epic,0.0078,0.25,1.5,20.0,Rod of Ages,Archangel's Staff,Malignance
Swain,Kaenic Rookern,Legendary,0.0055,0.5,5.3,15.0,Blackfire Torch,Malignance,
Singed,Refillable Potion,Consumable,0.1256,0.4444,1.28,5.0,Rylai's Crystal Scepter,Liandry's Torment,Boots of Swiftness
Taric,Shurelya's Battlesong,Legendary,0.0066,1.0,4.67,30.0,Protoplasm Harness,,
Quinn,Cloak of Agility,Basic,0.1339,0.4,2.1,25.0,Profane Hydra,Lord Dominik's Regards,Stormrazor
Dr Mundo,Titanic Hydra,Legendary,0.1703,0.6,3.61,25.0,Heartsteel,Warmog's Armor,Spirit Visage
Gangplank,Elixir of Wrath,Consumable,0.0314,0.5455,2.66,30.0,Essence Reaver,Infinity Edge,The Collector
Janna,Cosmic Drive,Legendary,0.0036,0.5,2.27,15.0,Ardent Censer,Shurelya's Battlesong,Trailblazer
Lee Sin,Ionian Boots of Lucidity,Boots,0.0756,0.4412,2.81,15.0,Sundered Sky,Eclipse,Profane Hydra
Ambessa,Sundered Sky,Legendary,0.117,0.5625,2.83,20.0,Profane Hydra,Death's Dance,Spear of Shojin
Cassiopeia,Spectre's Cowl,Epic,0.0042,0.0,1.0,30.0,Rod of Ages,Rylai's Crystal Scepter,
Aatrox,Caulfield's Warhammer,Epic,0.1405,0.403,2.75,10.0,Sundered Sky,Voltaic Cyclosword,Spear of Shojin
Ekko,Oracle Lens,Trinket,0.5444,0.4988,3.04,5.0,Dusk and Dawn,Shadowflame,Sorcerer's Shoes
Zyra,Oracle Lens,Trinket,0.5535,0.4091,2.57,10.0,Liandry's Torment,Sorcerer's Shoes,Control Ward
Varus,Statikk Shiv,Legendary,0.0009,1.0,4.33,15.0,Essence Reaver,Phantom Dancer,Stormrazor
Kayle,Sapphire Crystal,Basic,0.0039,1.0,3.67,5.0,Boots of Swiftness,Echoes of Helia,Nashor's Tooth
Illaoi,Warden's Mail,Epic,0.0164,1.0,0.57,30.0,Serylda's Grudge,Voltaic Cyclosword,
Sejuani,Locket of the Iron Solari,Legendary,0.0357,0.6667,2.93,10.0,Knight's Vow,Kaenic Rookern,Protoplasm Harness
Varus,Terminus,Legendary,0.0436,0.5625,2.86,25.0,Guinsoo's Rageblade,Blade of The Ruined King,Experimental Hexplate
Volibear,Hextech Gunblade,Legendary,0.0108,0.6667,1.52,15.0,Navori Flickerblade,Bandlepipes,Dusk and Dawn
Veigar,Banshee's Veil,Legendary,0.0245,0.6667,2.44,25.0,Rabadon's Deathcap,Cosmic Drive,Rod of Ages
Thresh,Forbidden Idol,Epic,0.0501,0.5333,3.55,30.0,Locket of the Iron Solari,Fiendish Codex,Kindlegem
Nidalee,Hextech Rocketbelt,Legendary,0.0824,0.6,4.06,15.0,Lich Bane,Rabadon's Deathcap,Shadowflame
Naafiri,Plated Steelcaps,Boots,0.114,0.4717,2.66,15.0,Axiom Arc,Profane Hydra,Death's Dance
Teemo,Cloth Armor,Basic,0.0147,1.0,2.33,35.0,Liandry's Torment,Malignance,Nashor's Tooth
Shyvana,Blade of The Ruined King,Legendary,0.0769,0.5,3.83,15.0,Dusk and Dawn,"Jak'Sho, The Protean",Navori Flickerblade
Renekton,Farsight Alteration,Trinket,0.1172,0.6327,2.89,15.0,Black Cleaver,Plated Steelcaps,Eclipse
Sejuani,Tear of the Goddess,Starter,0.0357,1.0,2.11,5.0,Doran's Ring,Giant's Belt,Boots
Skarner,Elixir of Iron,Consumable,0.0769,0.3333,3.21,35.0,Mercury's Treads,Sterak's Gage,Zeke's Convergence
Varus,Last Whisper,Epic,0.0363,0.575,2.91,25.0,Youmuu's Ghostblade,Edge of Night,Caulfield's Warhammer
Rumble,Aether Wisp,Epic,0.0032,0.0,0.77,10.0,Banshee's Veil,Bloodletter's Curse,Hextech Alternator
Shaco,Refillable Potion,Consumable,0.0032,1.0,2.0,5.0,Fated Ashes,Ionian Boots of Lucidity,Serpent's Fang
Nasus,Iceborn Gauntlet,Legendary,0.0909,0.5385,2.54,15.0,Spirit Visage,Frozen Heart,Bandlepipes
Viego,Warden's Mail,Epic,0.0022,0.5,2.3,30.0,Immortal Shieldbow,Sterak's Gage,
Aatrox,Death's Dance,Legendary,0.1719,0.6098,3.28,30.0,Sundered Sky,Voltaic Cyclosword,Spear of Shojin
Kaisa,Sheen,Epic,0.0412,0.3714,1.75,20.0,Guinsoo's Rageblade,Kraken Slayer,Kindlegem
Ashe,Kraken Slayer,Legendary,0.6241,0.5088,2.31,15.0,Phantom Dancer,Infinity Edge,Fiendhunter Bolts
Fiora,Hullbreaker,Legendary,0.0929,0.6538,1.41,25.0,Ravenous Hydra,Trinity Force,Death's Dance
Gangplank,Amplifying Tome,Basic,0.0029,0.0,1.0,15.0,Blasting Wand,Essence Reaver,Liandry's Torment
Kassadin,Cloth Armor,Basic,0.0623,0.4063,1.4,5.0,Rod of Ages,Malignance,Archangel's Staff
Sejuani,Protoplasm Harness,Legendary,0.25,0.4762,4.42,20.0,Sunfire Aegis,Thornmail,Bandlepipes
Aatrox,Vampiric Scepter,Epic,0.0021,0.0,0.88,25.0,Profane Hydra,Quicksilver Sash,Serylda's Grudge
Seraphine,Fated Ashes,Epic,0.0143,0.5,2.33,10.0,Lost Chapter,Haunting Guise,Blackfire Torch
Alistar,Giant's Belt,Epic,0.0593,0.4167,2.41,25.0,Kindlegem,Bandlepipes,Locket of the Iron Solari
Syndra,Seeker's Armguard,Epic,0.0426,0.625,3.06,25.0,Rabadon's Deathcap,Blackfire Torch,Shadowflame
Janna,Bandleglass Mirror,Epic,0.0884,0.4082,2.7,10.0,Redemption,Moonstone Renewer,Kindlegem
Samira,Mercury's Treads,Boots,0.2431,0.5094,2.77,20.0,The Collector,Infinity Edge,Lord Dominik's Regards
Miss Fortune,Guardian Angel,Legendary,0.025,0.4286,3.06,35.0,Infinity Edge,The Collector,Lord Dominik's Regards
Master Yi,Guardian Angel,Legendary,0.0248,0.8333,3.96,35.0,Kraken Slayer,Guinsoo's Rageblade,Experimental Hexplate
Akali,Haunting Guise,Epic,0.0056,0.0,0.78,20.0,Hextech Gunblade,Fiendish Codex,
Velkoz,Negatron Cloak,Epic,0.0034,1.0,2.5,25.0,Horizon Focus,Oblivion Orb,
Mel,Cryptbloom,Legendary,0.0336,0.25,2.63,20.0,Blackfire Torch,Rabadon's Deathcap,Horizon Focus
Singed,Gustwalker Hatchling,Starter,0.0047,1.0,1.5,5.0,Boots,Fated Ashes,Haunting Guise
Amumu,Solstice Sleigh,Legendary,0.0127,1.0,3.29,15.0,Knight's Vow,Locket of the Iron Solari,Zeke's Convergence
Annie,Stormsurge,Legendary,0.3455,0.6316,2.2,20.0,Malignance,Shadowflame,Rabadon's Deathcap
Xin Zhao,Hextech Gunblade,Legendary,0.0286,0.5,2.74,10.0,Dusk and Dawn,Black Cleaver,Essence Reaver
Azir,Sheen,Epic,0.0076,0.0,5.33,20.0,Nashor's Tooth,Rylai's Crystal Scepter,Shadowflame
Renekton,Cull,Starter,0.0024,1.0,3.67,5.0,Doran's Shield,Plated Steelcaps,Ruby Crystal
Briar,Spectre's Cowl,Epic,0.0177,0.5,10.44,25.0,Death's Dance,Titanic Hydra,Black Cleaver
Lux,Blasting Wand,Basic,0.0276,0.625,3.31,10.0,Luden's Companion,Sorcerer's Shoes,Shadowflame
Zaahen,Executioner's Calling,Epic,0.0376,0.5333,1.77,15.0,Stridebreaker,Trinity Force,Sundered Sky
Tryndamere,Mercurial Scimitar,Legendary,0.0194,0.5,2.7,30.0,Infinity Edge,Essence Reaver,Hullbreaker
Pantheon,Mosstomper Seedling,Starter,0.0031,1.0,2.33,5.0,Long Sword,Mercury's Treads,Sundered Sky
Zac,Mercury's Treads,Boots,0.2431,0.5571,4.98,15.0,Sunfire Aegis,Spirit Visage,Hextech Rocketbelt
Akali,Elixir of Sorcery,Consumable,0.0317,0.6471,2.73,35.0,Hextech Gunblade,Shadowflame,Rabadon's Deathcap
Talon,Quicksilver Sash,Epic,0.0021,1.0,9.5,20.0,Bastionbreaker,Serpent's Fang,Youmuu's Ghostblade
Shen,Bami's Cinder,Epic,0.0296,0.625,2.77,10.0,Bramble Vest,Chain Vest,Heartsteel
Draven,Hexoptics C44,Legendary,0.0816,0.5926,2.66,10.0,Infinity Edge,Lord Dominik's Regards,Bloodthirster
Chogath,Cloth Armor,Basic,0.0502,0.3333,1.67,15.0,Heartsteel,Riftmaker,Boots of Swiftness
Varus,Caulfield's Warhammer,Epic,0.0608,0.5373,2.28,15.0,Youmuu's Ghostblade,Edge of Night,Serpent's Fang
Sett,Kindlegem,Epic,0.0101,1.0,1.2,20.0,Phage,Stridebreaker,
Yunara,Mercurial Scimitar,Legendary,0.0074,0.3333,3.98,30.0,Fiendhunter Bolts,Infinity Edge,Kraken Slayer
Twitch,Dagger,Basic,0.1369,0.2034,1.42,10.0,Infinity Edge,Yun Tal Wildarrows,The Collector
Gangplank,Fated Ashes,Epic,0.0057,1.0,3.5,15.0,Haunting Guise,Essence Reaver,Malignance
Gragas,Frozen Heart,Legendary,0.0286,0.8333,4.35,25.0,Rod of Ages,Cosmic Drive,Lich Bane
Taric,Frozen Heart,Legendary,0.0921,0.4286,2.68,30.0,Locket of the Iron Solari,Bandlepipes,Knight's Vow
Kayn,Opportunity,Legendary,0.2809,0.4,2.63,10.0,Axiom Arc,Serylda's Grudge,Edge of Night
Poppy,Long Sword,Basic,0.0275,0.6,2.18,5.0,Dead Man's Plate,Boots of Swiftness,Force of Nature
Nilah,Serrated Dirk,Epic,0.0088,0.0,0.0,10.0,,,
Kalista,Blade of The Ruined King,Legendary,0.7714,0.5802,2.42,15.0,Guinsoo's Rageblade,Terminus,Wit's End
Draven,The Collector,Legendary,0.4955,0.5671,2.26,15.0,Infinity Edge,Bloodthirster,Lord Dominik's Regards
Volibear,Zeal,Epic,0.0342,0.3684,1.71,15.0,Dusk and Dawn,Cosmic Drive,Spirit Visage
Leona,Knight's Vow,Legendary,0.1865,0.6806,3.55,25.0,Locket of the Iron Solari,Bandlepipes,Protoplasm Harness
Rek Sai,Boots of Swiftness,Boots,0.0212,0.6667,4.62,30.0,Spear of Shojin,Stridebreaker,Dead Man's Plate
Kennen,Hextech Gunblade,Legendary,0.3968,0.5714,2.23,15.0,Shadowflame,Void Staff,Zhonya's Hourglass
Corki,Oracle Lens,Trinket,0.006,0.5,5.3,15.0,Infinity Edge,Trinity Force,Cloak of Agility
Malzahar,Farsight Alteration,Trinket,0.5185,0.4524,2.11,15.0,Liandry's Torment,Blackfire Torch,Rylai's Crystal Scepter
Maokai,Malignance,Legendary,0.0139,0.0,1.43,25.0,Sunfire Aegis,,
Katarina,Tear of the Goddess,Starter,0.0021,0.0,1.22,25.0,Sorcerer's Shoes,,
Corki,Control Ward,Consumable,0.0417,0.6786,3.07,20.0,Trinity Force,Doran's Blade,The Collector
Senna,Control Ward,Consumable,0.6985,0.5368,3.15,15.0,Boots of Swiftness,Echoes of Helia,Black Cleaver
Yone,Pickaxe,Basic,0.2154,0.3704,1.46,10.0,Blade of The Ruined King,Berserker's Greaves,Immortal Shieldbow
Zac,Thornmail,Legendary,0.2014,0.4655,4.54,25.0,Sunfire Aegis,Spirit Visage,Hextech Rocketbelt
Maokai,Bandlepipes,Legendary,0.375,0.5926,2.96,15.0,Locket of the Iron Solari,Trailblazer,Dead Man's Plate
Camille,Edge of Night,Legendary,0.0066,0.0,1.27,35.0,Eclipse,Sundered Sky,
Cassiopeia,Catalyst of Aeons,Epic,0.0169,0.25,1.1,10.0,Archangel's Staff,Blackfire Torch,Lost Chapter
Rakan,Oracle Lens,Trinket,0.9783,0.49,3.28,10.0,Control Ward,Zeke's Convergence,Ionian Boots of Lucidity
Brand,Giant's Belt,Epic,0.0464,0.2857,1.09,10.0,Liandry's Torment,Oblivion Orb,Blackfire Torch
Amumu,Bami's Cinder,Epic,0.0506,0.5,1.06,20.0,Liandry's Torment,Chain Vest,Kindlegem
Morgana,Void Staff,Legendary,0.014,0.0,1.64,20.0,Blackfire Torch,Liandry's Torment,Luden's Companion
Nasus,Imperial Mandate,Legendary,0.007,0.0,0.5,20.0,,,
Taliyah,Boots,Boots,0.0143,0.1429,0.79,5.0,Blackfire Torch,Fiendish Codex,Lost Chapter
Shaco,Rylai's Crystal Scepter,Legendary,0.0032,1.0,2.29,30.0,Blackfire Torch,Liandry's Torment,Morellonomicon
Pantheon,Giant's Belt,Epic,0.0123,0.75,2.93,25.0,Warden's Mail,Black Cleaver,Eclipse
Zaahen,Frozen Heart,Legendary,0.0025,0.0,0.62,30.0,Spear of Shojin,Stridebreaker,
Gragas,Liandry's Torment,Legendary,0.0095,0.5,1.65,25.0,Blackfire Torch,Hextech Rocketbelt,Shadowflame
Ashe,Stormrazor,Legendary,0.0182,0.6,2.61,15.0,Infinity Edge,Phantom Dancer,Fiendhunter Bolts
Lee Sin,Long Sword,Basic,0.2044,0.4022,2.23,5.0,Sundered Sky,Eclipse,Mercury's Treads
Veigar,Doran's Ring,Starter,0.449,0.5091,2.31,5.0,Rod of Ages,Rabadon's Deathcap,Needlessly Large Rod
Gragas,Bloodletter's Curse,Legendary,0.0286,0.6667,2.26,25.0,Hextech Rocketbelt,Cosmic Drive,Luden's Companion
Zaahen,Hubris,Legendary,0.0025,0.0,1.33,10.0,Death's Dance,Maw of Malmortius,Profane Hydra
Trundle,Steel Sigil,Epic,0.0217,0.5,1.6,30.0,Blade of The Ruined King,Dead Man's Plate,Maw of Malmortius
Zac,Spectre's Cowl,Epic,0.059,0.4118,3.44,20.0,Sunfire Aegis,Hextech Rocketbelt,Kindlegem
Renekton,Warden's Mail,Epic,0.012,0.2,2.34,25.0,Black Cleaver,Eclipse,Sterak's Gage
Jhin,Control Ward,Consumable,0.0375,0.6364,3.29,15.0,Doran's Blade,Infinity Edge,Stormrazor
Jhin,Serrated Dirk,Epic,0.0222,0.5385,3.37,5.0,Infinity Edge,Stormrazor,Rapid Firecannon
Shyvana,Long Sword,Basic,0.0769,0.5,3.83,5.0,Mercury's Treads,Navori Flickerblade,Blade of The Ruined King
Veigar,Cloth Armor,Basic,0.0163,1.0,1.71,20.0,Amplifying Tome,Rabadon's Deathcap,Blackfire Torch
Gragas,Scorchclaw Pup,Starter,0.0048,1.0,6.0,5.0,Boots,Stormsurge,
Udyr,Sterak's Gage,Legendary,0.0133,0.5,2.17,20.0,Experimental Hexplate,Hullbreaker,Iceborn Gauntlet
Poppy,Bastionbreaker,Legendary,0.0055,1.0,1.31,25.0,Eclipse,"Jak'Sho, The Protean",Protoplasm Harness
Braum,Celestial Opposition,Legendary,0.0232,0.4667,2.31,15.0,Bandlepipes,Locket of the Iron Solari,Knight's Vow
Mordekaiser,Hextech Alternator,Epic,0.0114,1.0,3.1,10.0,Dusk and Dawn,Riftmaker,Liandry's Torment
Lee Sin,Lord Dominik's Regards,Legendary,0.02,0.3333,3.64,25.0,Axiom Arc,Profane Hydra,Serpent's Fang
Nocturne,Refillable Potion,Consumable,0.0081,0.0,0.2,5.0,Experimental Hexplate,Tiamat,
Nunu,Kindlegem,Epic,0.0697,0.5,2.89,25.0,Liandry's Torment,Dead Man's Plate,Frozen Heart
Lulu,Force of Nature,Legendary,0.0015,0.0,5.33,25.0,Moonstone Renewer,Redemption,
Gnar,Cloth Armor,Basic,0.0437,0.4444,1.62,5.0,Trinity Force,Mercury's Treads,Black Cleaver
Mordekaiser,Dark Seal,Starter,0.1314,0.4348,2.11,5.0,Rylai's Crystal Scepter,Dusk and Dawn,Riftmaker
Darius,Force of Nature,Legendary,0.2226,0.459,2.19,30.0,Stridebreaker,Sterak's Gage,Dead Man's Plate
Naafiri,Lord Dominik's Regards,Legendary,0.0022,0.0,1.86,20.0,Death's Dance,Endless Hunger,
Cassiopeia,Kaenic Rookern,Legendary,0.0042,1.0,3.75,30.0,Rabadon's Deathcap,Rod of Ages,
Varus,Experimental Hexplate,Legendary,0.1261,0.482,2.04,15.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Rek Sai,Doran's Blade,Starter,0.0459,0.6154,3.36,5.0,Spear of Shojin,Titanic Hydra,Long Sword
Nautilus,Dark Seal,Starter,0.0123,0.7,1.95,5.0,Doran's Ring,Rod of Ages,Bandlepipes
Rammus,Dead Man's Plate,Legendary,0.0779,0.8333,9.19,20.0,Thornmail,"Jak'Sho, The Protean",Kaenic Rookern
Akali,Negatron Cloak,Epic,0.0019,0.0,2.13,30.0,Chain Vest,Giant's Belt,Hextech Gunblade
Kennen,Blighting Jewel,Epic,0.0526,0.7692,2.72,25.0,Shadowflame,Hextech Gunblade,Zhonya's Hourglass
Ryze,Glacial Buckler,Epic,0.0038,1.0,1.44,25.0,Rod of Ages,Lost Chapter,Warden's Mail
Diana,Oblivion Orb,Epic,0.0348,0.4286,2.68,25.0,Dusk and Dawn,Riftmaker,Liandry's Torment
Twisted Fate,Refillable Potion,Consumable,0.0444,0.3846,1.43,5.0,Rod of Ages,Doran's Ring,Aether Wisp
KSante,Boots,Boots,0.0352,0.8,2.02,10.0,Chain Vest,Kaenic Rookern,Negatron Cloak
Soraka,Shurelya's Battlesong,Legendary,0.0072,0.0,3.23,30.0,Moonstone Renewer,Redemption,Kaenic Rookern
Katarina,Refillable Potion,Consumable,0.1326,0.5397,2.44,5.0,Dark Seal,Hextech Gunblade,Sorcerer's Shoes
Mel,Lost Chapter,Epic,0.0252,0.3333,1.95,10.0,Blackfire Torch,Fated Ashes,Hextech Alternator
Taric,Tear of the Goddess,Starter,0.3947,0.4167,2.55,5.0,Kindlegem,Locket of the Iron Solari,Bandlepipes
Zaahen,Endless Hunger,Legendary,0.0652,0.5769,2.48,25.0,Sundered Sky,Trinity Force,Death's Dance
Zed,Profane Hydra,Legendary,0.1313,0.5,3.2,10.0,Edge of Night,Voltaic Cyclosword,Serylda's Grudge
Viego,Sterak's Gage,Legendary,0.0022,0.5,2.3,25.0,,,
Gnar,Tunneler,Epic,0.1214,0.72,2.55,20.0,Trinity Force,Black Cleaver,Wit's End
Ivern,Morellonomicon,Legendary,0.0109,1.0,3.67,30.0,Dawncore,Dusk and Dawn,Malignance
Nasus,Lord Dominik's Regards,Legendary,0.021,0.0,1.19,30.0,Essence Reaver,Immortal Shieldbow,Dead Man's Plate
Yasuo,Caulfield's Warhammer,Epic,0.0188,0.6875,2.29,25.0,Immortal Shieldbow,Steel Sigil,Blade of The Ruined King
Taliyah,Stealth Ward,Trinket,0.0798,0.359,1.55,5.0,Doran's Ring,Blackfire Torch,Needlessly Large Rod
Galio,Sorcerer's Shoes,Boots,0.0977,0.5588,3.22,15.0,Shadowflame,Zhonya's Hourglass,Hollow Radiance
Vayne,Refillable Potion,Consumable,0.0988,0.5439,2.06,5.0,Doran's Blade,Berserker's Greaves,Essence Reaver
Nocturne,Cloth Armor,Basic,0.0645,0.5,1.88,15.0,Experimental Hexplate,Stridebreaker,Mercury's Treads
Lissandra,Elixir of Sorcery,Consumable,0.0229,0.6667,2.88,30.0,Zhonya's Hourglass,Luden's Companion,Rabadon's Deathcap
Anivia,Abyssal Mask,Legendary,0.0035,0.0,1.8,35.0,Kaenic Rookern,Rod of Ages,
Nidalee,Forbidden Idol,Epic,0.0659,0.5833,3.16,20.0,Echoes of Helia,Moonstone Renewer,Fiendish Codex
Ornn,Kaenic Rookern,Legendary,0.3505,0.6207,2.96,25.0,Unending Despair,Sunfire Aegis,Protoplasm Harness
Lee Sin,Ruby Crystal,Basic,0.1133,0.2941,2.5,15.0,Eclipse,Sundered Sky,Plated Steelcaps
Mel,Void Staff,Legendary,0.0672,0.75,2.73,30.0,Blackfire Torch,Rabadon's Deathcap,Shadowflame
Mel,Fated Ashes,Epic,0.0168,0.25,0.99,10.0,Blackfire Torch,Haunting Guise,Horizon Focus
Diana,Farsight Alteration,Trinket,0.0311,0.4,2.35,15.0,Zhonya's Hourglass,Dusk and Dawn,Sorcerer's Shoes
Warwick,Plated Steelcaps,Boots,0.3008,0.5,2.27,20.0,Blade of The Ruined King,Stridebreaker,Death's Dance
Kalista,Scout's Slingshot,Epic,0.019,0.5,1.29,10.0,Blade of The Ruined King,Guinsoo's Rageblade,Yun Tal Wildarrows
Kog Maw,Shadowflame,Legendary,0.1959,0.6552,2.24,25.0,Dusk and Dawn,Nashor's Tooth,Luden's Companion
Mordekaiser,Pickaxe,Basic,0.0057,1.0,3.67,35.0,Dusk and Dawn,Experimental Hexplate,Hextech Gunblade
Orianna,Cosmic Drive,Legendary,0.0561,0.6818,2.92,20.0,Blackfire Torch,Rabadon's Deathcap,Zhonya's Hourglass
Cassiopeia,Aether Wisp,Epic,0.0169,0.75,2.51,25.0,Rylai's Crystal Scepter,Liandry's Torment,Rod of Ages
Olaf,Spirit Visage,Legendary,0.0209,0.75,3.1,30.0,Stridebreaker,Experimental Hexplate,Maw of Malmortius
Aatrox,Axiom Arc,Legendary,0.0042,1.0,3.33,25.0,Profane Hydra,Voltaic Cyclosword,Sundered Sky
Singed,Cloth Armor,Basic,0.0512,0.2727,2.28,5.0,Rylai's Crystal Scepter,Liandry's Torment,Boots of Swiftness
Lucian,Essence Reaver,Legendary,0.9761,0.4722,2.21,15.0,Infinity Edge,Navori Flickerblade,Lord Dominik's Regards
Varus,Stealth Ward,Trinket,0.1152,0.4331,1.71,5.0,Doran's Blade,Dusk and Dawn,Nashor's Tooth
Fiora,Bandlepipes,Legendary,0.0036,0.0,2.88,20.0,Endless Hunger,Randuin's Omen,Ravenous Hydra
Kennen,Refillable Potion,Consumable,0.085,0.4762,1.89,5.0,Hextech Rocketbelt,Sorcerer's Shoes,Doran's Blade
Yasuo,Blade of The Ruined King,Legendary,0.5617,0.4686,1.68,15.0,Immortal Shieldbow,Infinity Edge,Death's Dance
Renata,Frozen Heart,Legendary,0.0349,0.0,3.3,15.0,Knight's Vow,Locket of the Iron Solari,Bandlepipes
Gragas,Shadowflame,Legendary,0.2333,0.4898,2.96,25.0,Luden's Companion,Lich Bane,Hextech Rocketbelt
Belveth,Yun Tal Wildarrows,Legendary,0.0741,0.4,1.97,15.0,Black Cleaver,Bloodthirster,Death's Dance
Akali,Kindlegem,Epic,0.0019,1.0,2.67,25.0,Liandry's Torment,Riftmaker,Sheen
Poppy,Plated Steelcaps,Boots,0.3242,0.5424,2.03,10.0,Sundered Sky,Dead Man's Plate,Kindlegem
Yasuo,Death's Dance,Legendary,0.1046,0.6854,2.56,30.0,Immortal Shieldbow,Infinity Edge,Blade of The Ruined King
Thresh,Abyssal Mask,Legendary,0.0167,0.5,2.94,30.0,Locket of the Iron Solari,Bandlepipes,Protoplasm Harness
Khazix,Opportunity,Legendary,0.3344,0.5396,3.04,20.0,Umbral Glaive,Edge of Night,Serylda's Grudge
Pyke,Rectrix,Epic,0.0548,0.4,2.29,10.0,Serrated Dirk,Umbral Glaive,Edge of Night
Nunu,Hextech Rocketbelt,Legendary,0.1343,0.4815,2.59,15.0,Rabadon's Deathcap,Mejai's Soulstealer,Shadowflame
Galio,Zhonya's Hourglass,Legendary,0.1954,0.5294,3.29,30.0,Hollow Radiance,Riftmaker,Hextech Rocketbelt
Illaoi,Hextech Alternator,Epic,0.0164,1.0,2.0,5.0,,,
Yone,Bloodthirster,Legendary,0.016,1.0,2.97,20.0,Infinity Edge,Death's Dance,Kraken Slayer
Fizz,Farsight Alteration,Trinket,0.0611,0.3636,2.04,15.0,Zhonya's Hourglass,Lich Bane,Dark Seal
Xin Zhao,Maw of Malmortius,Legendary,0.0857,0.75,2.87,25.0,Sundered Sky,Death's Dance,Black Cleaver
Corki,Null-Magic Mantle,Basic,0.0089,0.1667,1.28,15.0,Trinity Force,Essence Reaver,Infinity Edge
Nidalee,Lich Bane,Legendary,0.5824,0.5377,3.53,15.0,Shadowflame,Zhonya's Hourglass,Rabadon's Deathcap
Nocturne,Long Sword,Basic,0.3306,0.4146,2.11,5.0,Stridebreaker,Experimental Hexplate,Plated Steelcaps
Gragas,Kindlegem,Epic,0.0381,0.375,1.99,20.0,Aether Wisp,Bandlepipes,Rod of Ages
Sona,Health Potion,Consumable,0.0041,0.5,3.44,5.0,Fiendish Codex,Ionian Boots of Lucidity,Echoes of Helia
Blitzcrank,Dagger,Basic,0.0045,0.0,1.25,5.0,Chempunk Chainsword,Long Sword,Youmuu's Ghostblade
Ryze,Rabadon's Deathcap,Legendary,0.1206,0.5625,2.65,30.0,Rod of Ages,Actualizer,Zhonya's Hourglass
Aphelios,B. F. Sword,Basic,0.1451,0.505,1.81,10.0,Stormrazor,Pickaxe,Infinity Edge
Varus,Kindlegem,Epic,0.0154,0.4118,0.91,10.0,Experimental Hexplate,Guinsoo's Rageblade,Sheen
Ahri,Mercury's Treads,Boots,0.0473,0.5238,2.96,10.0,Blackfire Torch,Shadowflame,Malignance
Yasuo,Bramble Vest,Epic,0.0012,0.0,3.17,30.0,Blade of The Ruined King,Kraken Slayer,Last Whisper
Urgot,B. F. Sword,Basic,0.0046,1.0,1.83,35.0,Black Cleaver,Dead Man's Plate,Kaenic Rookern
Nunu,Unending Despair,Legendary,0.01,1.0,6.1,20.0,Liandry's Torment,Kaenic Rookern,
Zaahen,Ravenous Hydra,Legendary,0.0075,0.6667,0.89,15.0,Death's Dance,Trinity Force,
Leona,Dark Seal,Starter,0.0026,0.0,2.4,10.0,Boots of Swiftness,Chain Vest,Kindlegem
Bard,Whispering Circlet,Legendary,0.0033,0.5,1.44,20.0,Echoes of Helia,,
